,,,,,
,,,,,
,,,,,
Attribute,Type,Akeneo Code,Suggested Data Type,Options / Range,Notes
Special Attribute 2,2. Standard Specs,special_2,Text,Free text (e.g. SKU range '10027671 to 10041891'),—
Special Attribute 3,2. Standard Specs,special_3,Text,No data populated yet,—
Special Attribute 4,2. Standard Specs,special_4,Text,No data populated yet,—
Special Attribute 5,2. Standard Specs,special_5,Text,No data populated yet,—
Energy efficiency class,2. Standard Specs,energy_efficiency_scale,Simple select,A; B; C; D; E; F; G,"Configured as 'Text', but data is the fixed EU energy label set — recommend Simple select."
Annual energy consumption [kWh/year],2. Standard Specs,energy_consumption_annum,Number,Observed range: 47–799,—
Voltage Range [V / Hz],2. Standard Specs,voltage_range,Simple select,220-240 V ~ 50/60 Hz; 220-240 V ~ 50Hz,"Configured as Multi select, but only one voltage spec applies per unit — recommend Simple select."
Type of plug,2. Standard Specs,power_plug_type,Simple select,Type E/F - 2 pin (German) - Schuko; Type C 16A - 2 pin (Europlug),"Configured as 'measurement', which is wrong — this is a categorical plug-type list, recommend Simple select."
Power cord length [m],2. Standard Specs,power_cord_length,Number,Observed range: 1.2–2.6 (m),"Configured as Multi select, but data is a continuous length in meters — recommend Number."
IEC protection class [Schutzklasse],2. Standard Specs,iec_protection_class,Simple select,"I (only value observed; standard set is I, II, III)","Configured as 'measurement', but protection class is categorical — recommend Simple select."
Power [W],2. Standard Specs,total_power,Number,Observed range: 45–200,—
Noise Emission [dB],2. Standard Specs,max_noise_level,Number,Observed range: 23–43 (some blank/'na'),—
Product Height [cm],3. Product Dimensions,hoehe,Number,Observed range: 30.3–192,—
Product Width [cm],3. Product Dimensions,breite,Number,Observed range: 29.5–59.5,—
Product Depth [cm],3. Product Dimensions,laenge,Number,Observed range: 31.5–57.5,—
Product weight [kg],3. Product Dimensions,gewicht,Number,Observed range: 7–60,—
,,,,,
Number of batteries in accessories [qty],4. Battery Information,number_of_batteries_in_accessories,Number (integer),Observed: 0,—
Type of batteries in accessories [type],4. Battery Information,battery_type_in_accessories,Simple select,"No data — recommend standard set (AA, AAA, 9V, CR2032, etc.)",No data currently populated.
Weight of one battery in accessories [g],4. Battery Information,weight_of_batteries_in_accessories,Number,No data populated yet,—
Number of batteries main unit [qty],4. Battery Information,number_of_batteries,Number (integer),Observed: 0,—
Type of batteries main unit [type],4. Battery Information,battery_type,Simple select,"No data — recommend standard set (AA, AAA, 9V, CR2032, etc.)",No data currently populated.
Weight of one battery main unit [g],4. Battery Information,weight_of_batteries,Number,No data populated yet,—
ISTA Level,5. Packaging,ista_level,Simple select,ISTA 1A; Other,"Configured as 'text', but data is a fixed packaging-test-standard list — recommend Simple select."
How Many Boxes? [qty],5. Packaging,how_many_boxes___qty_,Number (integer),Observed: 1,—
Box 1 - Content [what's inside?],5. Packaging,package_1_contents,Text,Free text (e.g. 'Beverage Cooler + Instruction Manual'),—
Box 2 - Content [what's inside?],5. Packaging,package_1_contents,Text,Free text (e.g. 'Beverage Cooler + Instruction Manual'),—
Box 3 - Content [what's inside?],5. Packaging,package_1_contents,Text,Free text (e.g. 'Beverage Cooler + Instruction Manual'),—
,,,,,
